offense_description,district,shooting,month,weekend,hour,day
INVESTIGATE PROPERTY,C6,1,2,1,2,13
INVESTIGATE PROPERTY,B2,0,2,1,2,13
ASSAULT - SIMPLE,A1,0,2,1,2,13
M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,0,2,1,3,13
SICK/INJURED/MEDICAL - PERSON,B2,0,2,1,3,13
VAL - VIOLATION OF AUTO LAW,A1,0,2,1,3,13
SICK/INJURED/MEDICAL - PERSON,C11,0,2,1,3,13
SICK ASSIST,E18,0,2,1,3,13
ASSAULT - SIMPLE,D14,0,2,1,3,13
VERBAL DISPUTE,B3,0,2,1,3,13
ASSAULT - SIMPLE,A1,0,2,1,3,13
M/V - LEAVING SCENE - PROPERTY DAMAGE,,0,2,1,3,13
FIRE REPORT,E13,0,2,1,4,13
TOWED MOTOR VEHICLE,D4,0,2,1,4,13
M/V ACCIDENT - PERSONAL INJURY,B2,0,2,1,5,13
M/V - LEAVING SCENE - PROPERTY DAMAGE,E18,0,2,1,5,13
ASSAULT - SIMPLE,B2,0,2,1,7,13
SICK ASSIST,B2,0,2,1,7,13
HARASSMENT/ CRIMINAL HARASSMENT,E5,0,2,1,7,13
TOWED MOTOR VEHICLE,A15,0,2,1,7,13
VERBAL DISPUTE,E5,0,2,1,8,13
VANDALISM,E5,0,2,1,8,13
M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,0,2,1,8,13
AUTO THEFT,B3,0,2,1,9,13
M/V ACCIDENT - PROPERTY DAMAGE,B3,0,2,1,9,13
M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,0,2,1,9,13
LARCENY THEFT FROM MV - NON-ACCESSORY,C11,0,2,1,9,13
ASSAULT - SIMPLE,B2,0,2,1,9,13
LARCENY SHOPLIFTING,D4,0,2,1,9,13
INVESTIGATE PROPERTY,B2,0,2,1,9,13
INVESTIGATE PROPERTY,A1,0,2,1,10,13
TOWED MOTOR VEHICLE,D14,0,2,1,10,13
SICK/INJURED/MEDICAL - PERSON,D14,0,2,1,10,13
INVESTIGATE PERSON,B3,0,2,1,10,13
DEATH INVESTIGATION,A7,0,2,1,10,13
LARCENY THEFT OF MV PARTS & ACCESSORIES,D14,0,2,1,11,13
ASSAULT - AGGRAVATED,E5,0,2,1,11,13
TOWED MOTOR VEHICLE,C11,0,2,1,11,13
INVESTIGATE PERSON,B3,0,2,1,11,13
PROPERTY - LOST/ MISSING,B3,0,2,1,11,13
SICK/INJURED/MEDICAL - PERSON,B2,0,2,1,11,13
THREATS TO DO BODILY HARM,C11,0,2,1,11,13
DEATH INVESTIGATION,C6,0,2,1,11,13
THREATS TO DO BODILY HARM,E18,0,2,1,11,13
MISSING PERSON - LOCATED,B3,0,2,1,11,13
TOWED MOTOR VEHICLE,D4,0,2,1,12,13
LARCENY THEFT FROM MV - NON-ACCESSORY,B3,0,2,1,12,13
ASSAULT - AGGRAVATED,C6,0,2,1,12,13
ASSAULT - AGGRAVATED,E5,0,2,1,12,13
INVESTIGATE PROPERTY,B2,0,2,1,12,13
SICK ASSIST,E13,0,2,1,12,13
TOWED MOTOR VEHICLE,C6,0,2,1,13,13
LARCENY SHOPLIFTING,D4,0,2,1,13,13
SICK ASSIST,B2,0,2,1,13,13
SICK/INJURED/MEDICAL - PERSON,B2,0,2,1,13,13
LARCENY SHOPLIFTING,E13,0,2,1,13,13
SUDDEN DEATH,A15,0,2,1,13,13
FRAUD - FALSE PRETENSE / SCHEME,E18,0,2,1,14,13
INVESTIGATE PERSON,C6,0,2,1,14,13
INVESTIGATE PROPERTY,D4,0,2,1,14,13
ASSAULT - AGGRAVATED,E18,1,2,1,14,13
VANDALISM,E5,0,2,1,14,13
INVESTIGATE PERSON,B3,0,2,1,14,13
SUDDEN DEATH,E13,0,2,1,15,13
LARCENY SHOPLIFTING,A1,0,2,1,15,13
M/V ACCIDENT - OTHER CITY VEHICLE,E13,0,2,1,15,13
BURGLARY - RESIDENTIAL,D4,0,2,1,15,13
DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,0,2,1,15,13
M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,0,2,1,16,13
PROPERTY - LOST THEN LOCATED,A1,0,2,1,16,13
LARCENY SHOPLIFTING,E5,0,2,1,16,13
SUDDEN DEATH,C6,0,2,1,16,13
TRESPASSING,E13,0,2,1,16,13
LARCENY SHOPLIFTING,D4,0,2,1,16,13
TOWED MOTOR VEHICLE,C11,0,2,1,16,13
VANDALISM,E13,0,2,1,16,13
PROPERTY - FOUND,D4,0,2,1,16,13
INVESTIGATE PERSON,C6,0,2,1,16,13
SICK ASSIST,B2,0,2,1,16,13
INVESTIGATE PERSON,C11,0,2,1,17,13
PROPERTY - LOST/ MISSING,D4,0,2,1,17,13
ASSAULT - SIMPLE,D4,0,2,1,17,13
ASSAULT - SIMPLE,E18,0,2,1,17,13
M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,0,2,1,17,13
SICK/INJURED/MEDICAL - POLICE,C6,0,2,1,17,13
VANDALISM,D14,0,2,1,17,13
TOWED MOTOR VEHICLE,C6,0,2,1,17,13
M/V ACCIDENT - OTHER CITY VEHICLE,B2,0,2,1,17,13
DEATH INVESTIGATION,B3,0,2,1,17,13
VANDALISM,C11,0,2,1,18,13
VERBAL DISPUTE,A7,0,2,1,18,13
M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,0,2,1,18,13
LARCENY THEFT OF MV PARTS & ACCESSORIES,B3,0,2,1,18,13
VERBAL DISPUTE,C11,0,2,1,18,13
M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,0,2,1,18,13
ASSAULT - AGGRAVATED,D4,0,2,1,18,13
TOWED MOTOR VEHICLE,A15,0,2,1,18,13
TOWED MOTOR VEHICLE,C6,0,2,1,19,13
M/V ACCIDENT - PROPERTY DAMAGE,D14,0,2,1,19,13
INVESTIGATE PERSON,E5,0,2,1,19,13
AUTO THEFT,D4,0,2,1,20,13
INVESTIGATE PERSON,B2,0,2,1,20,13
INVESTIGATE PERSON,,0,2,1,20,13
VERBAL DISPUTE,A7,0,2,1,20,13
M/V ACCIDENT - PROPERTY DAMAGE,C11,0,2,1,20,13
ASSAULT - SIMPLE,A1,0,2,1,20,13
M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,0,2,1,21,13
ASSAULT - SIMPLE,A1,0,2,1,21,13
M/V ACCIDENT - PROPERTY DAMAGE,D14,0,2,1,21,13
VANDALISM,B2,0,2,1,21,13
VERBAL DISPUTE,C11,0,2,1,21,13
M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,0,2,1,21,13
M/V ACCIDENT - OTHER,D14,0,2,1,21,13
VANDALISM,C6,0,2,1,22,13
M/V - LEAVING SCENE - PERSONAL INJURY,B2,0,2,1,22,13
M/V ACCIDENT - PROPERTY DAMAGE,C11,0,2,1,22,13
LARCENY THEFT FROM MV - NON-ACCESSORY,A1,0,2,1,22,13
M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,0,2,1,22,13
SICK ASSIST,B2,0,2,1,22,13
M/V ACCIDENT - PROPERTY DAMAGE,E5,0,2,1,22,13
VERBAL DISPUTE,A15,0,2,1,22,13
ASSAULT - AGGRAVATED,B2,0,2,1,22,13
LARCENY THEFT FROM MV - NON-ACCESSORY,A1,0,2,1,22,13
TOWED MOTOR VEHICLE,E18,0,2,1,22,13
INVESTIGATE PROPERTY,B2,0,2,1,23,13
INVESTIGATE PROPERTY,D14,0,2,1,23,13
LARCENY THEFT FROM BUILDING,D14,0,2,1,23,13
M/V ACCIDENT - PROPERTY DAMAGE,B2,0,2,1,23,13
ASSAULT - AGGRAVATED,B2,0,2,0,0,14
LARCENY THEFT OF MV PARTS & ACCESSORIES,D14,0,2,0,0,14
PROPERTY - LOST/ MISSING,B3,0,2,0,0,14
VERBAL DISPUTE,B2,0,2,0,0,14
THREATS TO DO BODILY HARM,C6,0,2,0,0,14
VANDALISM,D4,0,2,0,0,14
M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,0,2,0,0,14
INVESTIGATE PROPERTY,E13,0,2,0,0,14
TOWED MOTOR VEHICLE,E13,0,2,0,0,14
VAL - OPERATING AFTER REV/SUSP.,C11,0,2,0,0,14
VAL - VIOLATION OF AUTO LAW,B3,0,2,0,0,14
INVESTIGATE PERSON,C6,0,2,0,0,14
ASSAULT - SIMPLE,C11,0,2,0,1,14
TRESPASSING,A1,0,2,0,1,14
THREATS TO DO BODILY HARM,E18,0,2,0,1,14
INVESTIGATE PERSON,B3,0,2,0,2,14
PROPERTY - FOUND,A1,0,2,0,2,14
VERBAL DISPUTE,B2,0,2,0,2,14
M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,0,2,0,2,14
AUTO THEFT,A7,0,2,0,3,14
LARCENY THEFT FROM MV - NON-ACCESSORY,E13,0,2,0,4,14
BURGLARY - COMMERICAL,D4,0,2,0,4,14
VERBAL DISPUTE,C11,0,2,0,5,14
INVESTIGATE PERSON,B3,0,2,0,5,14
M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,E13,0,2,0,6,14
BURGLARY - COMMERICAL,A1,0,2,0,6,14
BURGLARY - COMMERICAL,D4,0,2,0,6,14
TOWED MOTOR VEHICLE,B3,0,2,0,6,14
VANDALISM,D4,0,2,0,6,14
VANDALISM,C11,0,2,0,6,14
SUDDEN DEATH,C11,0,2,0,6,14
ASSAULT - AGGRAVATED,E13,0,2,0,6,14
M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,0,2,0,7,14
TOWED MOTOR VEHICLE,A7,0,2,0,7,14
ASSAULT - SIMPLE,E5,0,2,0,7,14
M/V - LEAVING SCENE - PERSONAL INJURY,D14,0,2,0,7,14
TOWED MOTOR VEHICLE,E13,0,2,0,7,14
ASSAULT - SIMPLE,A1,0,2,0,7,14
BURGLARY - COMMERICAL,A1,0,2,0,7,14
HARASSMENT/ CRIMINAL HARASSMENT,C6,0,2,0,8,14
SICK ASSIST,B2,0,2,0,8,14
M/V ACCIDENT - OTHER,E18,0,2,0,8,14
SICK ASSIST,D14,0,2,0,8,14
M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,0,2,0,8,14
TOWED MOTOR VEHICLE,C11,0,2,0,8,14
FORGERY / COUNTERFEITING,C6,0,2,0,8,14
TOWED MOTOR VEHICLE,B2,0,2,0,8,14
SICK ASSIST,B2,0,2,0,8,14
SICK/INJURED/MEDICAL - PERSON,E18,0,2,0,9,14
FRAUD - CREDIT CARD / ATM FRAUD,B2,0,2,0,9,14
FORGERY / COUNTERFEITING,E13,0,2,0,9,14
LANDLORD - TENANT,E18,0,2,0,9,14
DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,A1,0,2,0,9,14
SICK/INJURED/MEDICAL - POLICE,A1,0,2,0,9,14
SICK ASSIST,B2,0,2,0,9,14
M/V ACCIDENT - OTHER,C6,0,2,0,9,14
SICK ASSIST,E18,0,2,0,9,14
M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,0,2,0,9,14
TOWED MOTOR VEHICLE,C6,0,2,0,9,14
TOWED MOTOR VEHICLE,A1,0,2,0,9,14
TRESPASSING,B3,0,2,0,9,14
PROPERTY - LOST/ MISSING,A1,0,2,0,9,14
TOWED MOTOR VEHICLE,D14,0,2,0,9,14
LARCENY THEFT OF MV PARTS & ACCESSORIES,D4,0,2,0,10,14
M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,0,2,0,10,14
ASSAULT - SIMPLE,C11,0,2,0,10,14
SICK ASSIST,D4,0,2,0,10,14
M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,0,2,0,11,14
FRAUD - FALSE PRETENSE / SCHEME,C6,0,2,0,11,14
INVESTIGATE PERSON,A7,0,2,0,11,14
SICK/INJURED/MEDICAL - PERSON,A15,0,2,0,11,14
INVESTIGATE PROPERTY,B2,0,2,0,11,14
LARCENY SHOPLIFTING,D4,0,2,0,11,14
AUTO THEFT,C11,0,2,0,11,14
SICK ASSIST,B3,0,2,0,11,14
HARASSMENT/ CRIMINAL HARASSMENT,B3,0,2,0,11,14
VANDALISM,B2,0,2,0,11,14
TOWED MOTOR VEHICLE,B3,0,2,0,11,14
TOWED MOTOR VEHICLE,C6,0,2,0,11,14
BURGLARY - RESIDENTIAL,C11,0,2,0,11,14
SICK ASSIST,C11,0,2,0,11,14
M/V ACCIDENT - OTHER,B2,0,2,0,11,14
THREATS TO DO BODILY HARM,C11,0,2,0,12,14
PROPERTY - FOUND,E13,0,2,0,12,14
VANDALISM,C11,0,2,0,12,14
LARCENY ALL OTHERS,C11,0,2,0,12,14
M/V ACCIDENT - INVOLVING BICYCLE - INJURY,B2,0,2,0,12,14
AUTO THEFT,B2,0,2,0,12,14
INVESTIGATE PROPERTY,A1,0,2,0,12,14
TOWED MOTOR VEHICLE,A15,0,2,0,12,14
THREATS TO DO BODILY HARM,C6,0,2,0,12,14
M/V PLATES - LOST,C11,0,2,0,12,14
LARCENY ALL OTHERS,D14,0,2,0,12,14
SICK ASSIST,B3,0,2,0,12,14
FRAUD - FALSE PRETENSE / SCHEME,D14,0,2,0,12,14
SICK ASSIST,E18,0,2,0,12,14
LARCENY SHOPLIFTING,E13,0,2,0,12,14
PROPERTY - LOST/ MISSING,B2,0,2,0,12,14
SICK ASSIST,E13,0,2,0,12,14
M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,0,2,0,13,14
TOWED MOTOR VEHICLE,C11,0,2,0,13,14
M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,0,2,0,13,14
SICK ASSIST,B3,0,2,0,13,14
INVESTIGATE PERSON,E5,0,2,0,13,14
M/V ACCIDENT - PROPERTY DAMAGE,D14,0,2,0,13,14
M/V ACCIDENT - PROPERTY DAMAGE,B2,0,2,0,13,14
LARCENY SHOPLIFTING,D4,0,2,0,13,14
INVESTIGATE PROPERTY,A15,0,2,0,13,14
PROPERTY - LOST/ MISSING,A1,0,2,0,13,14
SICK ASSIST,A7,0,2,0,13,14
VANDALISM,B2,0,2,0,13,14
INVESTIGATE PERSON,E18,0,2,0,13,14
M/V ACCIDENT - PROPERTY DAMAGE,E13,0,2,0,13,14
LARCENY SHOPLIFTING,C11,0,2,0,13,14
MISSING PERSON - LOCATED,D14,0,2,0,13,14
M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,0,2,0,14,14
MISSING PERSON,C11,0,2,0,14,14
PROPERTY - LOST/ MISSING,B2,0,2,0,14,14
LARCENY PURSE SNATCH - NO FORCE,,0,2,0,14,14
INVESTIGATE PERSON,B3,0,2,0,14,14
ASSAULT - SIMPLE,D4,0,2,0,14,14
INVESTIGATE PROPERTY,C11,0,2,0,14,14
M/V - LEAVING SCENE - PERSONAL INJURY,E18,0,2,0,14,14
M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,0,2,0,14,14
INVESTIGATE PERSON,E5,0,2,0,14,14
TRESPASSING,C6,0,2,0,14,14
PROPERTY - LOST/ MISSING,A1,0,2,0,15,14
PROPERTY - LOST/ MISSING,D4,0,2,0,15,14
M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,0,2,0,15,14
SICK ASSIST,D4,0,2,0,15,14
LARCENY SHOPLIFTING,A1,0,2,0,15,14
SICK ASSIST - DRUG RELATED ILLNESS,B2,0,2,0,15,14
M/V ACCIDENT - PERSONAL INJURY,B3,0,2,0,15,14
ASSAULT - SIMPLE,A7,0,2,0,16,14
LARCENY THEFT FROM BUILDING,D4,0,2,0,16,14
LANDLORD - TENANT,B2,0,2,0,16,14
VERBAL DISPUTE,C11,0,2,0,16,14
SICK/INJURED/MEDICAL - PERSON,C11,0,2,0,16,14
LARCENY ALL OTHERS,A7,0,2,0,16,14
AIRCRAFT INCIDENTS,A7,0,2,0,16,14
M/V ACCIDENT - OTHER,A7,0,2,0,16,14
THREATS TO DO BODILY HARM,B2,0,2,0,16,14
M/V ACCIDENT - OTHER CITY VEHICLE,B2,0,2,0,16,14
SICK ASSIST,E18,0,2,0,16,14
BURGLARY - RESIDENTIAL,E5,0,2,0,16,14
SICK ASSIST,D4,0,2,0,16,14
FRAUD - FALSE PRETENSE / SCHEME,B2,0,2,0,16,14
INVESTIGATE PROPERTY,C11,0,2,0,17,14
PROPERTY - FOUND,D4,0,2,0,17,14
INVESTIGATE PERSON,C6,0,2,0,17,14
WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,B3,0,2,0,17,14
TOWED MOTOR VEHICLE,B3,0,2,0,17,14
LARCENY SHOPLIFTING,D4,0,2,0,17,14
LARCENY THEFT OF MV PARTS & ACCESSORIES,C6,0,2,0,17,14
LARCENY THEFT FROM MV - NON-ACCESSORY,B2,0,2,0,17,14
ASSAULT - SIMPLE,B2,0,2,0,17,14
SICK ASSIST,E13,0,2,0,17,14
PROPERTY - LOST/ MISSING,C11,0,2,0,18,14
DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,0,2,0,18,14
FRAUD - CREDIT CARD / ATM FRAUD,D4,0,2,0,18,14
ASSAULT - SIMPLE,E13,0,2,0,18,14
THREATS TO DO BODILY HARM,B2,0,2,0,18,14
VANDALISM,E13,0,2,0,18,14
LARCENY SHOPLIFTING,D14,0,2,0,18,14
LARCENY SHOPLIFTING,A1,0,2,0,18,14
INVESTIGATE PERSON,D4,0,2,0,18,14
INVESTIGATE PERSON,E13,0,2,0,18,14
ASSAULT - AGGRAVATED,D4,0,2,0,18,14
INVESTIGATE PERSON,E5,0,2,0,18,14
SICK ASSIST,E5,0,2,0,18,14
M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY,C11,0,2,0,18,14
M/V ACCIDENT - OTHER,A1,0,2,0,18,14
PROPERTY - FOUND,D4,0,2,0,19,14
LARCENY SHOPLIFTING,E5,0,2,0,19,14
M/V ACCIDENT - PROPERTY DAMAGE,A7,0,2,0,19,14
PROPERTY - LOST/ MISSING,D4,0,2,0,19,14
TRESPASSING,B2,0,2,0,19,14
SICK ASSIST,A7,0,2,0,19,14
INVESTIGATE PROPERTY,B3,0,2,0,19,14
LARCENY THEFT FROM MV - NON-ACCESSORY,C11,0,2,0,20,14
MISSING PERSON,D14,0,2,0,20,14
INVESTIGATE PERSON,B3,0,2,0,20,14
VANDALISM,C11,0,2,0,20,14
M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,0,2,0,20,14
SICK ASSIST,A7,0,2,0,20,14
VAL - VIOLATION OF AUTO LAW,B2,0,2,0,20,14
VANDALISM,C11,0,2,0,20,14
HARASSMENT/ CRIMINAL HARASSMENT,D14,0,2,0,20,14
VANDALISM,C11,0,2,0,21,14
VANDALISM,C11,0,2,0,21,14
M/V ACCIDENT - PROPERTY DAMAGE,C11,0,2,0,21,14
VAL - VIOLATION OF AUTO LAW,B2,0,2,0,21,14
SICK ASSIST,C6,0,2,0,21,14
HARASSMENT/ CRIMINAL HARASSMENT,A7,0,2,0,21,14
FRAUD - WIRE,D14,0,2,0,21,14
INVESTIGATE PERSON,C6,0,2,0,21,14
M/V ACCIDENT - PROPERTY DAMAGE,C11,0,2,0,21,14
SICK ASSIST,C11,0,2,0,21,14
LARCENY THEFT OF MV PARTS & ACCESSORIES,D14,0,2,0,21,14
WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,B2,0,2,0,21,14
INVESTIGATE PERSON,A15,0,2,0,21,14
INVESTIGATE PERSON,B3,0,2,0,21,14
SICK ASSIST,A7,0,2,0,21,14
TOWED MOTOR VEHICLE,E13,0,2,0,21,14
INVESTIGATE PERSON,B3,0,2,0,21,14
VANDALISM,C11,0,2,0,22,14
VAL - OPERATING AFTER REV/SUSP.,C11,0,2,0,22,14
SICK ASSIST,A1,0,2,0,22,14
ASSAULT - SIMPLE,B3,0,2,0,22,14
ROBBERY,B2,0,2,0,22,14
VANDALISM,B3,0,2,0,22,14
AUTO THEFT,C11,0,2,0,22,14
LARCENY THEFT FROM MV - NON-ACCESSORY,C11,0,2,0,23,14
LARCENY THEFT FROM MV - NON-ACCESSORY,B3,0,2,0,23,14
TOWED MOTOR VEHICLE,A1,0,2,0,23,14
TOWED MOTOR VEHICLE,D14,0,2,0,23,14
SICK ASSIST,C11,0,2,0,23,14
VANDALISM,C11,0,2,0,23,14
ASSAULT - AGGRAVATED,B3,0,2,0,23,14
AUTO THEFT,D4,0,2,0,23,14
MISSING PERSON - LOCATED,C11,0,2,0,23,14
M/V ACCIDENT - PROPERTY DAMAGE,D14,0,2,0,23,14
VANDALISM,D4,0,2,0,23,14
FORGERY / COUNTERFEITING,C11,0,2,0,0,15
FORGERY / COUNTERFEITING,C11,0,2,0,0,15
LARCENY THEFT FROM BUILDING,D4,0,2,0,0,15
FRAUD - IMPERSONATION,A1,0,2,0,0,15
BURGLARY - COMMERICAL,C6,0,2,0,0,15
SICK ASSIST,D4,0,2,0,0,15
PROPERTY - LOST/ MISSING,A1,0,2,0,0,15
FRAUD - IMPERSONATION,E13,0,2,0,0,15
HARASSMENT/ CRIMINAL HARASSMENT,A1,0,2,0,0,15
HARASSMENT/ CRIMINAL HARASSMENT,A7,0,2,0,0,15
SERVICE TO OTHER AGENCY,D4,0,2,0,0,15
INVESTIGATE PROPERTY,C11,0,2,0,0,15
FIRE REPORT,B2,0,2,0,0,15
ASSAULT - AGGRAVATED,A15,0,2,0,0,15
ASSAULT - AGGRAVATED,C6,1,2,0,1,15
LARCENY SHOPLIFTING,A1,0,2,0,2,15
BURGLARY - COMMERICAL,E5,0,2,0,2,15
SICK ASSIST,B2,0,2,0,3,15
SICK ASSIST,B2,0,2,0,4,15
LARCENY THEFT OF MV PARTS & ACCESSORIES,C11,0,2,0,4,15
LARCENY THEFT OF MV PARTS & ACCESSORIES,B2,0,2,0,5,15
LARCENY THEFT FROM MV - NON-ACCESSORY,C11,0,2,0,5,15
VANDALISM,C11,0,2,0,5,15
SICK ASSIST - DRUG RELATED ILLNESS,D4,0,2,0,5,15
M/V ACCIDENT - PROPERTY DAMAGE,B3,0,2,0,5,15
THREATS TO DO BODILY HARM,C11,0,2,0,6,15
DEATH INVESTIGATION,A15,0,2,0,6,15
VANDALISM,C11,0,2,0,6,15
AUTO THEFT,A1,0,2,0,7,15
LARCENY THEFT OF MV PARTS & ACCESSORIES,C11,0,2,0,7,15
AUTO THEFT,E18,0,2,0,7,15
ROBBERY,D4,0,2,0,8,15
TOWED MOTOR VEHICLE,C6,0,2,0,8,15
M/V ACCIDENT - PERSONAL INJURY,B2,0,2,0,8,15
LARCENY THEFT FROM MV - NON-ACCESSORY,C11,0,2,0,8,15
INVESTIGATE PERSON,C11,0,2,0,8,15
DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,0,2,0,9,15
TOWED MOTOR VEHICLE,C11,0,2,0,9,15
M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,0,2,0,9,15
M/V ACCIDENT - PROPERTY DAMAGE,B2,0,2,0,9,15
TOWED MOTOR VEHICLE,B2,0,2,0,9,15
LARCENY THEFT FROM MV - NON-ACCESSORY,C11,0,2,0,9,15
M/V ACCIDENT - PERSONAL INJURY,D4,0,2,0,9,15
TOWED MOTOR VEHICLE,A7,0,2,0,9,15
INVESTIGATE PERSON,C11,0,2,0,9,15
DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B3,0,2,0,9,15
SEARCH WARRANT,B3,0,2,0,9,15
DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C11,0,2,0,9,15
INVESTIGATE PERSON,E18,0,2,0,9,15
TOWED MOTOR VEHICLE,C11,0,2,0,10,15
FRAUD - FALSE PRETENSE / SCHEME,E5,0,2,0,10,15
M/V ACCIDENT - PROPERTY DAMAGE,C11,0,2,0,10,15
TOWED MOTOR VEHICLE,A7,0,2,0,10,15
VAL - VIOLATION OF AUTO LAW,,0,2,0,10,15
LARCENY ALL OTHERS,D14,0,2,0,10,15
SICK/INJURED/MEDICAL - PERSON,A7,0,2,0,10,15
INVESTIGATE PERSON,C6,0,2,0,10,15
M/V ACCIDENT - PERSONAL INJURY,C6,0,2,0,10,15
INVESTIGATE PERSON,B2,0,2,0,11,15
VANDALISM,A1,0,2,0,11,15
TOWED MOTOR VEHICLE,A1,0,2,0,11,15
M/V ACCIDENT - PROPERTY DAMAGE,D14,0,2,0,11,15
DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,0,2,0,11,15
VANDALISM,C11,0,2,0,11,15
VAL - VIOLATION OF AUTO LAW,B3,0,2,0,11,15
MISSING PERSON - LOCATED,C11,0,2,0,11,15
INVESTIGATE PERSON,C11,0,2,0,11,15
INTIMIDATING WITNESS,B2,0,2,0,11,15
FRAUD - FALSE PRETENSE / SCHEME,E18,0,2,0,11,15
LARCENY THEFT FROM BUILDING,D14,0,2,0,11,15
M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY,D4,0,2,0,11,15
M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,0,2,0,12,15
FRAUD - IMPERSONATION,E13,0,2,0,12,15
INVESTIGATE PERSON,B3,0,2,0,12,15
INVESTIGATE PERSON,D14,0,2,0,12,15
INVESTIGATE PERSON,A7,0,2,0,12,15
SEARCH WARRANT,E13,0,2,0,12,15
VANDALISM,B3,0,2,0,12,15
PROPERTY - LOST/ MISSING,E5,0,2,0,12,15
LARCENY THEFT OF MV PARTS & ACCESSORIES,D14,0,2,0,12,15
PROPERTY - FOUND,C6,0,2,0,12,15
DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,0,2,0,12,15
LARCENY THEFT FROM MV - NON-ACCESSORY,C11,0,2,0,12,15
DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,0,2,0,12,15
M/V ACCIDENT - OTHER,C11,0,2,0,12,15
SICK/INJURED/MEDICAL - PERSON,B3,0,2,0,12,15
ASSAULT - SIMPLE,D4,0,2,0,13,15
HARASSMENT/ CRIMINAL HARASSMENT,B3,0,2,0,13,15
M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,0,2,0,13,15
LARCENY SHOPLIFTING,D4,0,2,0,13,15
SICK ASSIST,A1,0,2,0,13,15
TOWED MOTOR VEHICLE,E18,0,2,0,13,15
BALLISTICS EVIDENCE/FOUND,B3,0,2,0,13,15
AUTO THEFT - MOTORCYCLE / SCOOTER,C11,0,2,0,14,15
FRAUD - FALSE PRETENSE / SCHEME,C6,0,2,0,14,15
ASSAULT - SIMPLE,E5,0,2,0,14,15
INVESTIGATE PERSON,D14,0,2,0,14,15
VANDALISM,C11,0,2,0,14,15
VAL - OPERATING W/O AUTHORIZATION LAWFUL,C11,0,2,0,14,15
VANDALISM,B3,0,2,0,14,15
RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),C6,0,2,0,14,15
FRAUD - FALSE PRETENSE / SCHEME,E13,0,2,0,14,15
SICK ASSIST,D4,0,2,0,14,15
INVESTIGATE PERSON,D4,0,2,0,14,15
M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,0,2,0,15,15
SICK/INJURED/MEDICAL - POLICE,E13,0,2,0,15,15
FRAUD - IMPERSONATION,A1,0,2,0,15,15
FIREARM/WEAPON - FOUND OR CONFISCATED,C6,0,2,0,15,15
VANDALISM,C6,0,2,0,15,15
THREATS TO DO BODILY HARM,E13,0,2,0,15,15
M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,0,2,0,15,15
M/V ACCIDENT - PROPERTY DAMAGE,B3,0,2,0,15,15
INVESTIGATE PROPERTY,D14,0,2,0,15,15
INVESTIGATE PROPERTY,B2,0,2,0,15,15
FRAUD - IMPERSONATION,C6,0,2,0,15,15
SICK ASSIST,A7,0,2,0,15,15
